n_dpe,version_dpe,methode_du_dpe,categorie_erp,secteur_activite,type_energie_principale_chauffage,type_energie_n_1,type_usage_energie_n_1,conso_kwhep_m2_an,emission_ges_kgco2_m2_an,surface_utile,conso_finale_energie,conso_primaire_energie,frais_annuel_energie,annee_construction,etiquette_dpe
2369T3957539J,5,2,4,21,6,7,6,58.6,1.6,100.0,5825.0,13397.5,416.0,-1,2
2302T0483966V,4,2,3,8,6,7,6,123.2,3.4,96.0,5143.0,11828.9,903.3,1900,3
2130T0774038L,1,4,4,9,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1948,1
2245T0183882T,2,2,5,24,6,4,6,206.8,30.2,1361.0,383653.6,448718.6,29009.0,1980,4
2175T0391597X,0,6,5,24,6,7,6,479.3,17.5,157.4,32799.0,75437.7,7184.0,1900,6
2238T1191714G,3,2,5,24,6,7,6,395.0,11.0,142.0,24120.0,55476.0,3859.2,1949,6
2306T1693340J,5,3,5,24,6,7,6,386.9,10.8,56.4,28450.0,65435.0,6488.599999999999,1960,6
2375T1219332Y,5,3,5,25,6,7,6,269.5,7.5,134.0,31396.0,72210.8,5075.9,1949,4
2230T0348972U,3,2,4,24,6,7,6,346.4,9.9,100.0,45162.0,71162.0,4507.0,1948,5
2360T0516378R,4,3,4,24,6,7,6,380.2,10.6,100.0,300000.0,690000.0,57000.0,-1,5
2259T0899265A,3,2,4,9,6,7,6,1168.5,32.5,100.0,17324.0,39845.2,2885.0,1948,7
2133T0645011Z,1,4,4,9,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2308T2058677W,4,3,4,9,6,7,6,269.1,9.8,64.7,8326.0,19149.8,1156.5,1950,4
2233T2547795A,4,2,4,10,6,7,0,2738.5,76.2,100.0,107881.0,248126.3,10497.0,-1,7
2179T0929948W,2,4,4,21,6,6,6,0.1,0.1,100.0,0.0,0.0,0.0,1947,1
2321T1079137T,4,2,5,24,4,4,2,218.5,42.6,130.0,25810.0,28410.0,2215.8,1900,4
2175T0856892W,2,4,4,21,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1930,1
2135T0295390C,0,2,4,19,6,7,6,137.4,3.8,100.0,4700.0,10810.0,730.0,1978,3
2272T2225526O,4,3,4,21,6,7,6,327.4,9.1,100.0,7390.0,16997.0,1566.0,-1,4
2322T2521538T,5,2,0,24,4,4,2,115.0,17.0,1216.6,110639.5,116.0,10234.400000000001,1945,3
2331T0557158A,4,2,4,24,6,7,6,125.4,3.6,100.0,3019.3,6914.1,869053.0,-1,3
2214T2717962E,4,3,5,24,6,7,3,222.0,6.0,35.0,10161.0,23370.0,1908.0,1973,7
2342T1437233M,4,3,4,9,7,7,2,115.5,3.2,100.0,2179.0,5011.7,632.0,-1,3
2236T2128102C,4,3,4,10,7,7,2,797.1,22.2,50.6,12489.0,28724.7,2010.2000000000003,1949,7
2116T0929326N,2,4,4,9,6,6,6,0.1,0.1,100.0,0.0,0.0,0.0,1948,1
2313T1860765B,4,3,4,9,6,7,6,131.0,3.6,100.0,2975.0,6842.5,612.3,-1,3
2235T0439506B,3,2,4,21,6,7,6,314.9,8.8,100.0,21118.0,48571.4,3897.1,1948,5
2493T0135628T,5,2,4,25,6,7,6,186.7,5.2,100.0,18930.0,43539.0,5491.0,-1,3
2292T2914152Y,4,3,5,10,6,7,3,838.0,23.0,31.7,34626.0,79641.0,5730.0,1949,7
2367T0385440W,4,2,4,13,6,7,6,60.7,1.7,100.0,3251.0,7477.3,727.0,-1,2
2375T2306389V,5,2,0,24,7,7,2,799.0,22.0,572.0,198785.0,799.3,40471.9,1948,6
2203T0349774P,3,2,5,24,6,7,6,25362.9,709.3,1273.8,80648.0,185490.40000000002,11836.5,1997,7
2133T1019246Q,2,2,0,24,7,7,2,86.0,2.0,315.0,11814.7,86.3,1632.8,1976,2
2375T0105252S,4,2,4,9,6,7,6,353.1,9.8,100.0,10807.0,24856.1,3135.0,-1,5
2157T0388165F,0,2,4,10,6,7,6,540.5,39.8,100.0,39701.1,70310.4,11454.0,1948,7
2331T4300884M,5,2,4,19,6,7,6,126.0,3.5,100.0,15552.0,35769.6,2971.0,1950,3
2367T0116517R,4,3,4,9,6,7,6,390.3,10.9,100.0,15324.0,35245.2,2072.0,2016,6
2257T0702815E,2,2,5,24,6,7,6,55.1,1.5,4400.0,105192.0,241941.6,16875.1,1995,2
2345T1180658I,4,3,4,21,6,7,6,241.4,6.7,100.0,13278.0,30539.4,3852.0,-1,4
2138T0415436J,0,2,4,10,6,7,6,123.9,3.4,100.0,6885.0,15835.5,4200.0,1978,3
2267T0918329O,3,2,4,10,6,7,6,685.2,19.1,100.0,18024.0,41455.2,5228.0,1947,7
2137T0607409X,1,2,5,24,6,7,6,371.4,20.8,1260.0,523755.0,1204636.5,85683.0,1988,4
2195T0221744W,0,6,0,24,4,7,2,241.0,23.0,12496.0,1852135.6,240.9,186362.1,1980,4
2352T0922423M,4,2,4,10,6,7,6,644.3,22.1,100.0,106306.2,234603.2,9478.0,-1,7
2445T0567523G,5,2,4,19,6,7,6,215.1,6.0,100.0,8200.0,18860.0,2379.0,-1,4
2259T0141936Z,2,2,5,24,6,7,6,249.1,12.3,994.0,122846.8,247646.8,17389.3,1980,4
2395T3057813N,5,2,5,24,6,7,6,58.4,3.9,11930.6,379907.0,696871.7,47843.7,2017,2
2274T2411498K,4,3,4,9,6,7,6,85.9,2.4,100.0,2500.0,5750.0,725.0,-1,2
2355T3259373H,5,2,4,9,6,2,6,45.5,12.9,100.0,67655.5,67655.5,9795.400000000001,-1,2
2192T0493201K,0,4,4,21,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1978,1
2383T0271870K,4,3,4,9,6,7,6,236.5,6.6,100.0,4931.0,11341.3,1070.0,-1,4
2133T0766306E,1,2,4,10,6,7,6,843.4,23.5,100.0,30859.0,70975.7,5049.0,1947,7
2313T0920824M,4,2,4,21,6,7,6,69.3,1.9,100.0,37597.0,86473.1,10906.0,-1,2
2184T0096878X,0,6,4,22,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1948,1
2368T3784220F,5,2,4,9,6,7,6,282.9,7.9,100.0,6901.0,15872.3,1486.0,-1,5
2326T2755131G,5,2,4,9,7,7,2,209.0,5.8,100.0,6996.0,16090.8,1610.0,-1,4
2326T0653648Z,4,2,4,24,6,7,6,180.0,5.0,100.0,110382.7,253880.1,32018.7,2014,4
2275T2100387Q,4,2,4,25,6,7,6,204.7,5.7,100.0,69123.3,158983.7,11094.3,-1,3
2388T0739249S,4,2,5,24,4,7,4,435.2,27.1,185.2,42900.9,80600.90000000001,4628.3,1950,6
2291T1009158X,3,2,4,9,6,7,6,585.0,29.4,100.0,341436.9,685286.9,39744.0,-1,7
2475T0029980R,5,3,0,24,7,7,2,426.0,11.0,66.0,12227.7,426.1,3758.7,1948,6
2325T0250214G,4,2,0,9,4,7,2,140.0,11.0,10279.0,614503.7,89.0,209017.9,1989,3
2395T0116469X,4,2,4,24,6,4,6,306.1,40.3,100.0,357257.0,489857.0,57974.0,-1,5
2229T0775825E,3,2,4,9,6,7,6,206.1,5.7,100.0,13782.7,31700.1,3997.7,1948,4
2169T0187587D,0,6,4,9,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2349T0960569N,4,2,4,9,6,7,6,355.9,9.9,100.0,15587.0,35850.1,2443.8,-1,5
2306T2211075G,5,3,5,24,6,7,6,235.9,6.6,1358.7,139360.0,320528.0,22338.3,1930,4
2168T0347791U,0,2,4,9,6,7,0,437.9,40.0,100.0,263499.7,428564.60000000003,18961.5,2001,6
2258T0444377H,3,2,4,7,6,4,6,250.1,56.8,100.0,57233.3,57233.3,3583.0,1947,3
2293T2642022L,4,2,5,25,6,7,6,290.7,8.1,562.1,71036.0,163382.8,11413.9,1992,4
2138T0151017K,0,6,5,24,6,7,6,292.9,37.7,572.5,170228.0,282372.5,20958.800000000003,2004,3
2176T0731949K,1,2,4,10,6,7,6,459.4,12.8,100.0,33685.7,77477.0,12670838.0,1947,6
2344T2620637C,5,3,0,21,4,4,2,123.0,17.0,90.3,7786.099999999999,106.0,592.0,1945,3
2275T3073505G,4,2,4,21,6,5,6,137.6,19.9,100.0,25719.3,31189.699999999997,1725.8,-1,3
2231T1154696F,3,2,5,25,6,7,6,138.5,3.9,621.5,115401.0,265422.30000000005,18507.5,1970,3
2244T1751274A,3,2,4,10,6,7,6,523.7,14.6,100.0,19788.0,45512.4,2169.0,1900,7
2259T1245863S,3,2,5,25,6,7,6,124.8,3.5,552.2,29968.4,68927.3,4847.6,2008,3
2375T0484951N,4,2,4,9,6,7,6,249.8,7.0,100.0,152678.0,351159.4,44287.0,-1,4
2139T0270205P,0,6,5,24,6,5,6,224.2,21.5,44.7,7676.8,10022.0,1000.0,2009,4
2335T0196754M,4,3,4,21,6,7,6,273.2,7.6,100.0,16937.0,38955.1,3011.3,-1,4
2473T0423620P,5,3,4,9,6,7,6,143.1,4.0,100.0,3943.3,9069.7,385.0,-1,3
2374T0473809Y,4,3,4,10,6,7,6,2488.3,69.2,100.0,112937.0,259755.1,13552.0,-1,7
2447T0277401U,5,2,5,24,6,7,3,144.0,4.0,500.5,94200.0,216660.0,15231.0,2000,3
2351T0172264E,4,2,0,21,7,7,2,183.0,5.0,4527.6,360849.3,183.3,59420.3,1948,3
2242T2218441X,4,2,4,7,6,7,6,283.3,7.9,100.0,10292.7,23673.1,1871.4,1900,5
2277T1310498J,3,2,4,21,6,7,0,170.1,4.7,100.0,87846.0,202045.8,9072.0,-1,3
2367T1860711B,4,2,4,19,6,4,6,240.5,37.0,100.0,34101.7,43011.9,5352.0,1956,4
2233T1535974V,3,2,5,24,6,7,6,512.8,14.3,348.1,77616.0,178516.8,12466.0,1978,7
2169T0296426G,0,2,4,25,6,7,6,61.9,1.7,100.0,14008.0,32218.4,2079.3,1989,2
2214T3160413N,4,2,5,24,6,4,6,471.8,73.8,33670.0,30699699.0,30699699.0,1892744.5,1980,4
2393T0372276O,4,3,4,7,6,7,6,274.4,7.6,100.0,7993.0,18383.9,2318.5,-1,4
2475T0301786T,5,2,5,25,6,7,6,312.1,8.7,155.0,19282.0,44348.6,3139.0,1976,4
2216T1790686U,3,2,4,9,6,7,6,247.3,6.9,100.0,8231.0,18931.3,917.0,-1,4
2392T0858393I,4,2,5,25,6,7,6,137.1,3.8,2632.3,313848.0,721850.4,50629.2,1989,3
2195T0553015B,1,2,4,21,6,4,6,190.4,43.2,100.0,13857.0,13857.0,1164.0,1978,3
2375T1205706W,5,2,0,24,4,4,2,401.0,52.0,150.3,44077.5,401.8,3185.3,1945,5
2438T0011323R,5,2,4,21,6,7,6,221.8,6.2,100.0,68050.0,156515.0,14971.0,-1,4
2435T0272453A,5,2,5,24,6,7,6,234.4,6.5,115.0,35161.0,80870.29999999999,5677.8,1900,4
2212T2078174W,4,2,5,24,6,7,6,165.8,4.6,400.0,86495.0,198938.5,13885.7,1947,3
2344T0070726P,4,0,0,24,7,7,4,77.0,2.0,1949.7,51294.0,639.0,8337.0,2023,2
2269T2642313S,4,3,4,9,6,7,6,228.6,6.4,100.0,8200.0,18860.0,2350.0,-1,4
2208T2992788E,4,2,4,24,6,7,6,1565.6,43.6,100.0,45892.7,105553.1,8303.3,-1,7
2393T4128080O,5,3,4,7,7,7,2,320.9,8.9,100.0,9876.0,22714.8,200.0,-1,5
2338T4532071O,5,2,0,24,4,7,2,97.0,11.0,20435.8,1366153.9,97.7,102244.70000000001,2005,3
2172T0494722D,0,2,4,10,6,7,6,256.1,7.1,100.0,11000.0,25300.0,4006.0,1947,4
2275T0431439I,3,2,4,21,6,4,6,174.4,39.6,100.0,19180.6,19180.6,2133.3,1947,3
2277T2962889W,4,2,4,16,6,2,6,148.5,27.5,100.0,44873.5,61072.8,6578.0,-1,3
2377T3589244M,5,2,4,19,6,7,6,14.3,1.5,100.0,2721.6,4151.6,345.0,2022,1
2373T3383702W,5,2,5,24,6,2,6,309.4,57.4,219.0,49843.3,67750.8,5558.9,1994,5
2345T3720656O,5,2,4,25,6,7,6,96.2,2.7,100.0,9476.0,21794.8,1714.0,-1,3
2361T1262245X,4,3,4,9,6,2,6,171.8,55.7,100.0,13137.0,13137.0,3811.0,-1,4
2369T3304856E,5,3,4,21,6,7,6,262.2,7.3,100.0,11673.0,26847.9,1182.3,-1,4
2366T0183144F,4,3,5,19,6,7,6,207.8,5.8,233.3,42159.0,96965.7,6796.8,1950,4
2272T1317534U,3,2,4,25,6,7,6,106.4,3.0,100.0,100390.7,230898.5,29120.7,2008,3
2360T3189093K,5,2,0,24,4,4,2,184.0,32.0,676.0,106031.40000000001,184.10000000000002,8114.1,1983,3
2175T0945470S,2,4,4,9,6,6,6,0.1,0.1,100.0,0.0,0.0,0.0,1947,1
2276T0639984I,3,2,5,24,6,4,6,321.7,48.8,162.5,41125.8,52278.5,3800.2000000000003,1900,5
2377T4545674G,5,2,0,24,7,7,2,31.0,1.0,6812.3,94625.5,32.0,9804.8,1989,2
2257T0784712B,3,2,4,25,6,0,6,264.9,7.9,100.0,20682.7,21362.1,968.3,1947,4
2295T0131194F,2,2,5,19,6,7,3,48.0,2.0,215.6,12957.0,29802.0,2331.0,1970,7
2377T1423099F,5,3,5,24,6,7,6,325.0,23.1,223.2,74037.0,170285.1,13564.9,1930,5
2369T4512258S,5,2,4,21,6,7,6,47.4,1.3,100.0,7088.5,16303.6,1715.0,2018,1
2359T3495596Y,5,2,4,9,6,7,6,423.2,11.8,100.0,6072.0,13965.6,1013.4,-1,6
2320T0668225K,4,3,4,9,7,7,2,166.4,4.6,100.0,4367.0,10044.1,242.0,-1,3
2394T0619044R,4,3,4,9,6,4,6,105.3,18.0,100.0,6850.5,8150.5,382.4,-1,3
2374T0838181G,4,2,4,10,6,7,6,285.8,8.0,100.0,7431.0,17091.3,2156.0,-1,5
2476T0280913Z,5,2,5,24,6,7,6,119.2,3.3,223.8,34797.0,80033.1,5619.700000000001,1995,3
2395T0934051J,4,2,5,24,6,7,4,185.0,25.0,8316.0,2488554.0,2488554.0,104967.0,1980,4
2465T0091218P,5,2,4,21,6,4,6,59.0,9.6,100.0,5336.0,6521.6,993.3,-1,2
2289T0776736N,2,2,5,9,6,7,6,230.0,8.4,114.6,37812.0,86967.6,5252.0,1970,4
2241T0271963I,3,2,4,10,6,2,6,130.8,26.9,100.0,16690.0,16690.0,1312.0,1947,3
2221T3206331W,4,3,0,21,7,7,2,365.0,10.0,118.8,18898.7,365.8,1412.9,1983,5
2167T1039932O,2,2,0,24,7,7,2,370.0,10.0,130.0,20920.0,370.1,0.0,2012,5
2392T4189824H,5,2,0,21,7,7,2,234.0,6.0,146.3,14916.9,234.5,6243.2,1989,4
2373T2859150U,5,2,4,24,6,7,3,300.0,8.0,408.4,160017.0,368040.0,25752.0,1992,5
2347T0476529N,4,2,4,9,6,7,6,884.1,52.2,100.0,1158952.0,2214366.1,160379.0,-1,7
2310T1989841K,5,2,0,24,7,7,2,435.0,12.0,266.2,50369.0,435.2,11110.0,1945,5
2367T0953789L,4,3,4,9,6,7,6,148.2,4.1,100.0,6627.3,15242.9,1698.3,2007,3
2132T0123668H,0,6,4,9,6,7,6,1124.6,31.3,100.0,687396.0,1581010.8,250329.0,1948,7
2344T3071239Y,5,2,4,21,6,7,6,90.4,2.5,100.0,9942.0,22866.6,2022.1,-1,2
2338T0215668B,4,3,4,9,6,7,6,138.1,3.8,100.0,3531.3,8122.1,1024.3,1976,3
2367T1804579D,4,3,5,25,6,7,6,249.5,58.8,122.1,156523.9,302646.5,22061.600000000002,1900,4
2187T0293690S,0,2,4,9,6,7,6,714.7,19.9,100.0,17757.0,40841.1,1923.0,2001,7
2359T1783124Q,4,2,4,7,4,7,3,199.1,15.3,100.0,44017.2,76648.5,9710.0,-1,3
2375T2848914E,5,2,5,24,6,7,3,353.0,10.0,1870.0,861684.0,1981872.0,137943.0,1949,5
2245T2162929Y,4,3,4,9,6,7,6,1703.9,47.4,100.0,126309.7,290512.2,17683.3,-1,7
2342T0593393C,4,2,1,24,6,4,6,168.2,24.9,426.0,129480.0,129480.0,8396.1,1992,3
2312T0976747I,4,3,4,9,6,7,6,340.9,9.5,38.5,17119.0,39373.700000000004,2793.1,1947,5
2321T0897579T,4,2,5,24,4,4,2,123.2,28.0,55.0,20320.0,20320.0,1692.0,1900,3
2224T0222358U,3,2,4,25,6,7,6,1162.4,32.3,100.0,12230.0,28129.0,3548.0,1978,7
2113T0224967R,0,6,4,25,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2392T1087217G,4,2,5,9,6,7,6,1094.7,30.5,1175.9,1679089.0,3861904.7,268525.5,1980,7
2475T0402712N,5,3,4,10,6,7,6,291.0,8.1,100.0,4732.0,10883.6,1054.3,-1,5
2251T0679000Z,3,2,5,25,6,4,6,157.5,35.8,17.4,2747.2,2747.2,305.5,1970,3
2133T0686012Y,1,2,4,21,6,7,6,112.0,3.1,100.0,7116.0,16366.8,2064.0,1948,3
2301T0577295J,4,3,4,9,6,7,6,81.8,2.3,100.0,33249.0,76472.7,8027.3,-1,2
2275T3094052N,4,2,0,24,7,7,2,282.0,7.0,54.9,6733.3,282.3,1750.5,1900,4
2113T0300112W,0,2,4,6,6,7,6,118.1,3.3,100.0,1000.0,2300.0,364.0,1948,3
2359T2182908Y,5,2,4,21,6,7,6,300.5,8.4,171.7,67305.0,154801.5,10817.4,1930,4
2311T0453157F,4,3,4,25,6,7,6,112.4,3.1,100.0,1642.6,3778.1,476.5,-1,3
2149T0568698M,0,6,4,5,6,7,6,186.2,21.6,2301.2,283727.0,428420.9,20552.6,1989,3
2177T0916984E,2,2,4,24,6,4,6,229.8,52.2,100.0,17659.0,17659.0,1761.0,1947,4
2251T1903471A,3,0,0,21,7,7,4,192.0,8.0,1521.8,298992.4,452.0,37018.0,2022,3
2342T0601915W,4,2,4,25,6,7,6,136.4,3.8,100.0,2544.0,5851.2,407.0,2018,3
2336T2310563W,5,2,5,24,6,7,6,313.7,8.7,32.9,4494.0,10336.2,804.0,1900,5
2331T3944363D,5,2,4,21,6,7,6,28.2,0.8,100.0,78493.5,180535.1,22768.5,-1,1
2275T1014546N,3,2,4,24,6,7,6,289.1,8.0,100.0,8129.0,18696.7,850.5,-1,4
2206T0507805V,3,2,5,24,7,7,2,487.2,13.6,35.1,22323.0,51342.9,3625.2,1975,6
2191T0932018Y,2,4,4,7,6,6,6,0.1,0.1,100.0,0.0,0.0,0.0,1948,1
2493T0358457C,5,2,4,21,4,4,2,54.0,9.2,100.0,658.4,756.4,191.0,-1,2
2144T0272300J,0,4,4,21,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2220T1039661J,3,2,4,25,6,7,6,55.5,1.5,100.0,3600.0,8280.0,1044.0,1970,2
2249T0178131S,3,2,4,21,6,7,6,180.4,5.0,100.0,6040.4,13893.0,1752.1,1989,3
2208T1027378M,3,2,5,24,6,7,6,515.0,39.5,915.0,270137.0,471211.9,32318.9,1997,7
2375T1481567X,4,2,4,7,6,7,6,103.0,2.9,100.0,12321.0,28338.3,3574.0,-1,3
2392T4212529O,5,3,4,16,6,7,6,142.0,4.0,100.0,9516.0,21886.8,2760.0,2020,3
2238T0379015P,3,2,4,25,6,7,6,136.4,3.8,100.0,2529.0,5816.7,462.0,1989,3
2388T0773371C,4,2,5,24,6,7,6,499.9,13.9,225.5,49012.0,112727.6,7892.5,1970,6
2375T1054894K,4,2,5,25,6,5,1,180.0,32.0,62.9,33999.0,33999.0,2676.0,1930,4
2276T0505117D,3,2,4,24,6,7,6,2803.9,78.0,100.0,6705.0,15421.5,150.9,1948,7
2369T4049235D,5,0,5,24,7,7,2,108.6,3.0,148.0,4559.700000000001,10487.2,816.0,2023,3
2285T2108421A,4,2,4,9,6,7,6,54.3,1.5,100.0,3038.0,6987.4,700.0,1900,2
2344T0335237C,4,3,4,9,6,7,6,87.0,2.4,100.0,6552.0,15069.6,1350.3,-1,2
2385T3027966E,5,2,4,25,6,7,6,303.8,8.5,100.0,31671.0,72843.3,5696.6,-1,5
2359T1089693F,4,2,4,9,6,7,6,185.7,5.2,100.0,7742.0,17806.6,1008.0,-1,4
2336T1551726V,4,3,4,24,6,4,6,142.7,32.4,100.0,10200.9,10200.9,766.0,-1,3
2122T0823657O,1,6,4,8,6,7,1,277.0,7.0,125.1,16624.0,38235.2,2658.0,2008,4
2213T1000252J,3,2,4,9,7,7,2,188.0,5.2,100.0,5641.5,12975.5,1636.5,-1,4
2375T0684965J,4,3,4,7,6,4,6,357.3,49.0,100.0,36256.3,48659.6,5276.0,-1,5
2241T1878229U,3,2,4,21,6,4,6,304.5,48.1,100.0,20193.100000000002,25120.9,1933.0,-1,4
2229T3092961U,4,2,4,23,6,7,6,169.2,4.7,100.0,121369.5,279149.9,15141.0,-1,3
2351T0962515L,4,2,0,24,4,7,2,380.0,45.0,16680.0,4427823.0,380.2,522821.0,1948,5
2331T1828074K,5,2,5,24,6,7,6,93.7,2.6,20.6,840.0,1932.0,243.7,1990,3
2226T0000958M,2,2,4,7,6,7,6,227.5,6.3,100.0,187695.0,431698.5,54416.0,1948,4
2459T0106694P,5,2,5,24,6,7,6,122.4,3.4,108.0,17241.0,39654.3,2812.8,2009,3
2254T2303457F,4,3,0,24,7,7,2,187.0,5.0,1555.4,126501.0,187.1,13915.1,1945,3
2267T0788019Q,3,2,2,9,6,7,6,172.0,4.8,100.0,313872.0,721905.6,57854.0,2006,4
2330T0230180X,4,3,5,24,6,7,6,911.6,25.4,84.6,33530.0,77119.0,9723.7,1930,7
2335T2137049F,4,0,0,21,7,7,2,51.0,1.0,6249.0,120618.79999999999,803.0,19334.0,2023,2
2177T0508054C,0,2,4,9,6,7,6,180.5,5.0,100.0,32005.0,73611.5,2002.0,2001,4
2469T0335623Y,5,2,5,24,6,7,3,317.0,9.0,306.9,126744.0,291510.0,20433.0,1997,7
2375T3870091F,5,2,5,24,6,7,6,106.0,2.9,886.6,122538.0,281837.39999999997,19648.7,1995,3
2242T0866888C,3,2,4,25,7,7,2,355.7,9.9,100.0,15992.0,36781.6,4639.0,1947,5
2335T3602708S,5,3,4,10,6,7,6,298.6,8.3,100.0,16282.0,37448.6,3349.0,-1,5
2291T1034843U,3,2,5,24,6,7,6,127.0,3.5,1200.0,132500.0,304750.0,21241.4,1992,3
2294T2437539T,4,3,5,25,6,6,6,312.9,20.5,48.0,0.0,0.0,0.0,1970,4
2369T0865967T,4,2,4,25,6,7,6,59.4,1.7,100.0,11074.0,25470.2,2064.0,2020,2
2189T0968836Y,2,2,4,10,6,7,6,738.6,20.6,100.0,76651.0,176297.3,15718.4,2013,7
2469T0468275Y,5,2,4,21,6,7,6,65.2,1.8,100.0,842.0,1936.6,244.0,-1,2
2374T4195570P,5,3,4,9,6,7,6,398.4,17.7,100.0,43742.0,90705.8,5153.0,1954,6
2122T0058393I,0,6,0,7,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2233T1665635U,3,2,4,21,6,7,6,115.0,3.2,100.0,31079.0,71481.7,9015.0,-1,3
2375T2521216K,5,3,4,8,6,7,6,302.3,8.4,100.0,12876.0,29614.8,3735.0,-1,4
2238T2881865B,4,2,4,16,6,3,6,198.1,39.8,790.0,119102.5,142656.7,15687.7,1900,3
2379T3339400E,5,2,4,25,6,7,6,80.6,2.2,100.0,3312.0,7617.6,761.0,-1,2
2340T1773213S,5,3,5,24,6,7,6,445.4,12.4,81.6,15805.0,36351.5,2583.1,1960,6
2227T1724500P,3,2,5,24,7,7,2,14443.4,401.9,2.2,40881.0,94026.29999999999,6592.5,1955,7
2327T4207318Q,5,3,4,21,6,7,6,163.3,4.5,100.0,20311.0,46715.3,5281.0,1952,3
2249T1269282B,3,2,5,24,6,7,6,290.0,8.1,560.0,211811.89999999997,487167.4,33874.2,2008,5
2164T0033517E,0,6,0,7,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1948,1
2392T3367278X,5,2,4,11,6,4,6,242.6,31.5,100.0,66690.5,92128.9,6772.2,-1,3
2238T1112602M,3,2,4,24,6,7,6,522.7,14.5,100.0,9000.0,20700.0,2611.0,-1,7
2317T2228889V,4,2,4,25,6,7,6,86.6,2.4,100.0,1657.0,3811.1,481.0,-1,2
2292T0772594I,2,2,0,21,7,7,2,104.0,2.0,8294.0,376606.0,104.4,0.0,1995,2
2179T0820218M,1,2,4,9,6,7,6,557.5,15.5,100.0,31997.3,73593.9,9281.3,1983,7
2345T4416414M,5,2,4,21,6,7,6,487.2,13.6,100.0,561505.0,1291461.5,162875.5,1986,5
2389T3290518M,5,2,4,24,6,7,6,388.9,10.8,100.0,27899.0,64167.7,8093.0,2009,6
2334T3803991I,5,3,5,25,6,7,3,116.0,3.0,83.1,12561.0,28890.0,2271.0,1900,3
2307T1039822C,4,3,4,9,6,7,6,88.3,2.5,100.0,14566.5,33503.0,5102.0,-1,2
2460T0509681D,5,0,0,24,7,7,2,85.0,2.0,51.6,1840.1999999999998,82.10000000000001,421.0,2024,2
2373T4274354S,5,2,4,9,6,7,6,181.9,5.1,100.0,241821.0,556188.3,70145.0,-1,4
2391T2181947F,4,2,4,24,6,2,6,43.0,10.1,100.0,47212.3,56718.5,5022.0,-1,2
2176T0039566H,0,6,0,7,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2372T2332815C,4,2,4,10,6,7,6,373.7,45.5,100.0,45282.0,64533.7,12540.0,-1,5
2244T3040436E,4,2,5,24,6,7,6,83.2,2.3,121.9,13230.0,30429.0,1573.0,2015,2
2271T0297347U,2,2,0,24,7,7,2,101.0,2.0,9667.9,426009.0,101.4,59641.3,2002,3
2113T0171583L,0,2,5,24,6,7,3,60.0,2.0,474.9,37410.0,86043.0,4101.0,1994,7
2135T0209328A,0,6,5,24,6,7,6,320.7,11.7,42.0,17469.0,40178.7,4732.8,1991,5
2147T0534386S,1,4,4,10,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2210T0889690W,3,2,4,10,6,7,6,2121.7,59.0,100.0,484030.0,1113269.0,140402.5,2013,7
2375T3593741J,5,3,4,21,4,4,2,148.0,30.1,100.0,9107.8,9767.599999999999,1849.4,1973,3
2378T1464595G,4,2,4,24,6,7,6,533.5,14.8,100.0,5231.0,12031.3,590.0,-1,7
2301T1670607V,4,3,4,24,7,7,2,48.1,1.3,100.0,14460.5,33259.2,4194.5,-1,2
2128T0785977O,1,2,5,9,6,7,3,350.0,10.0,78.1,35706.0,82122.0,5142.0,1990,4
2394T1178113I,4,3,4,21,4,4,2,230.0,52.2,100.0,6579.4,6579.4,659.2,-1,4
2386T3651250R,5,2,4,21,6,7,6,133.5,3.7,100.0,17805.0,40951.5,2259.1,2009,3
2374T1054697U,4,2,4,21,6,7,6,47.2,1.3,100.0,10756.0,24738.8,3120.0,1986,1
2175T0820813F,1,2,4,9,6,7,6,560.0,15.6,100.0,11731.5,26982.5,629.0,1948,7
2261T2010752P,3,2,4,9,6,4,6,172.0,25.1,100.0,31202.5,40488.4,5084.1,-1,4
2225T3200695G,4,2,5,24,6,7,6,408.0,11.4,62.7,11123.0,25582.9,1844.2,1900,6
2229T2753278B,4,2,4,16,3,3,2,205.1,55.8,100.0,54827.4,54827.4,750.0,-1,3
2383T3968336E,5,3,4,9,6,7,6,373.7,10.4,100.0,15684.0,36073.2,4549.0,-1,5
2334T1620265W,4,3,5,9,6,7,3,127.0,4.0,68.4,11325.0,26046.0,2085.0,1800,3
2376T1297974R,5,3,5,24,4,4,2,162.7,36.9,88.4,28758.0,28758.0,2108.7,1955,3
2374T4001572D,5,3,4,9,6,7,6,270.7,32.0,100.0,28231.6,46465.4,5367.5,1972,4
