n_dpe,version_dpe,methode_du_dpe,categorie_erp,secteur_activite,type_energie_principale_chauffage,type_energie_n_1,type_usage_energie_n_1,conso_kwhep_m2_an,emission_ges_kgco2_m2_an,surface_utile,conso_finale_energie,conso_primaire_energie,frais_annuel_energie,annee_construction,etiquette_dpe
2375T3835849F,5,3,4,9,6,7,6,156.6,4.4,100.0,8154.0,18754.2,2365.0,-1,3
2341T2433509T,4,2,4,19,7,7,2,295.8,8.2,100.0,3042.0,6996.6,882.0,1950,5
2286T0341167T,3,2,4,21,6,4,6,191.4,34.8,100.0,21109.0,24216.0,1845.7,1983,4
2149T0664189F,1,4,4,19,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1978,1
2142T0515392Z,0,4,4,21,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1983,1
2214T2930037X,4,3,5,24,6,7,3,222.0,26.0,189.2,29727.0,68370.0,4281.0,1960,4
2149T0307369J,0,6,5,24,6,7,6,448.2,16.4,225.0,73068.0,168056.40000000002,13622.599999999999,1900,6
2468T0274458K,5,2,4,25,6,7,6,168.7,4.7,100.0,11751.0,27027.3,3408.5,-1,3
2456T0492995F,5,3,4,21,6,7,6,328.6,9.1,100.0,12730.0,29279.0,4005.0,-1,4
2338T0180726D,4,2,4,9,6,7,6,1688.5,47.0,100.0,242261.0,557200.3,70273.0,-1,7
2374T2905699E,5,2,4,24,6,7,6,95.3,2.7,100.0,10024.0,23055.2,2908.0,2018,3
2159T0445315J,0,2,4,9,6,7,6,244.6,6.8,100.0,51828.0,119204.4,8287.0,1989,4
2369T2159527B,4,2,4,21,6,7,6,465.4,13.0,100.0,111593.0,256663.9,20327.0,2008,5
2391T4219191T,5,2,5,24,6,7,6,175.8,4.9,17.6,1345.6,3094.9,1674.0,1990,4
2342T4196882V,5,3,4,19,6,7,6,261.0,7.3,100.0,15105.0,34741.5,4382.0,-1,4
2208T1480148S,3,2,4,25,6,4,6,96.5,21.9,100.0,11148.6,11148.6,3234.0,-1,3
2367T1013680Y,4,2,4,11,6,4,6,294.1,43.5,100.0,327147.0,428906.5,34838.3,-1,3
2369T2135527Z,5,0,5,24,7,7,3,49.4,1.4,9.4,128.2,295.0,37.2,2023,1
2313T3358305T,5,3,5,24,7,7,2,177.9,4.9,75.5,17520.0,40296.0,2857.2,1900,4
2275T2314825G,4,3,4,9,6,7,6,821.8,22.9,100.0,230006.0,529013.8,20.0,-1,7
2301T3967971Z,5,2,4,21,6,7,6,118.8,3.3,100.0,3372.0,7755.6,1095.0,-1,3
2175T0439430Q,0,2,4,9,6,7,6,370.1,10.3,100.0,5300.0,12190.0,1100.0,1947,5
2331T0682047L,4,3,4,7,6,7,6,157.3,4.4,100.0,82383.3,189481.7,14829.0,-1,3
2275T2163517S,4,2,4,24,6,7,6,403.2,11.2,100.0,12198.0,28055.4,1352.5,-1,4
2259T2983762Z,4,2,4,21,6,7,6,388.2,10.8,226.8,114467.0,263274.1,18358.1,1947,5
2349T4123944U,5,2,4,21,6,7,6,206.1,5.7,100.0,41694.0,95896.2,12094.0,-1,3
2378T2739798N,5,2,4,10,6,7,6,2515.4,70.0,100.0,433086.0,996097.8,38978.0,1987,7
2378T1073118L,4,2,4,9,6,7,6,277.5,7.7,100.0,6236.7,14344.3,756.0,-1,5
2237T3111688J,4,3,4,9,6,7,6,973.7,27.1,100.0,69851.0,160657.3,12674.1,2016,7
2373T3071699T,5,3,4,10,6,7,6,442.1,12.3,100.0,15858.0,36473.4,2696.0,1952,6
2314T1371862D,4,3,4,9,6,7,6,371.8,10.3,100.0,8164.0,18777.2,2368.0,-1,5
2313T2001042I,5,2,5,24,6,7,6,501.9,14.0,114.0,74624.0,171635.2,14945.2,1900,6
2392T1414525A,5,2,5,25,7,7,2,388.3,10.8,140.0,23638.0,54367.4,3835.5,1983,5
2258T0222103H,3,2,4,10,7,7,2,34.4,1.0,100.0,3195.3,7349.3,926.7,1947,2
2306T1358014F,5,3,5,24,6,7,6,357.6,9.9,27.2,12708.0,29228.399999999998,2093.7,1900,5
2171T0624039V,1,4,4,9,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2322T0359517C,4,3,4,10,6,7,6,591.5,31.8,100.0,55866.0,109897.9,6297.0,-1,7
2325T2997988W,5,3,4,21,6,7,6,143.8,4.0,100.0,3344.0,7691.2,970.0,-1,3
